airport_name	iata	number_of_hotels	country_code	deeplink	
Hesperia	L26	30	us	http://www.booking.com/airport/us/L26.html	
Kariba	KAB	1	zw	http://www.booking.com/airport/zw/KAB.html	
Rice Lake Regional (Carl's Field)	RPD	7	us	http://www.booking.com/airport/us/RPD.html	
Ruston Regional	RSN	7	us	http://www.booking.com/airport/us/RSN.html	
Shively Field	SAA	3	us	http://www.booking.com/airport/us/SAA.html	
Pyrzowice	KTW	30	pl	http://www.booking.com/airport/pl/KTW.html	
Rugby Municipal	RUG	2	us	http://www.booking.com/airport/us/RUG.html	
Clearwater Air Park	CLW	30	us	http://www.booking.com/airport/us/CLW.html	
Braganca	BGC	30	pt	http://www.booking.com/airport/pt/BGC.html	
Wawi	PMA	2	tz	http://www.booking.com/airport/tz/PMA.html	
Clinton Municipal	4M4	2	us	http://www.booking.com/airport/us/4M4.html	
Greene County Regional	3J7	5	us	http://www.booking.com/airport/us/3J7.html	
Perry County Municipal	TEL	6	us	http://www.booking.com/airport/us/TEL.html	
Henry Post Army Airfield (Fort Sill)	FSI	17	us	http://www.booking.com/airport/us/FSI.html	
Phetchabun	PHY	24	th	http://www.booking.com/airport/th/PHY.html	
Venice Municipal	VNC	30	us	http://www.booking.com/airport/us/VNC.html	
Flores	FLW	5	pt	http://www.booking.com/airport/pt/FLW.html	
Clark Regional	JVY	30	us	http://www.booking.com/airport/us/JVY.html	
Port Allen	PAK	30	us	http://www.booking.com/airport/us/PAK.html	
Caddo Mills Municipal	7F3	15	us	http://www.booking.com/airport/us/7F3.html	
Uzhorod International Airport	UDJ	30	ua	http://www.booking.com/airport/ua/UDJ.html	
Lomé-Tokoin	LFW	12	tg	http://www.booking.com/airport/tg/LFW.html	
Susanville Municipal	SVE	6	us	http://www.booking.com/airport/us/SVE.html	
Hjaltabakki	BLO	15	is	http://www.booking.com/airport/is/BLO.html	
Qaisumah	AQI	8	sa	http://www.booking.com/airport/sa/AQI.html	
Elmendorf Air Force Base	EDF	30	us	http://www.booking.com/airport/us/EDF.html	
Balikesir (Merkez)	BZI	6	tr	http://www.booking.com/airport/tr/BZI.html	
Takhli	TKH	4	th	http://www.booking.com/airport/th/TKH.html	
Waioti	MOF	3	id	http://www.booking.com/airport/id/MOF.html	
Rockingham County NC Shiloh	78N	10	us	http://www.booking.com/airport/us/78N.html	
St. Lucie County International	FPR	30	us	http://www.booking.com/airport/us/FPR.html	
Campbell River	YBL	30	ca	http://www.booking.com/airport/ca/YBL.html	
Hancock	SYR	30	us	http://www.booking.com/airport/us/SYR.html	
Juist	JUI	31	de	http://www.booking.com/airport/de/JUI.html	
Captain Manuel Niño International	CHX	30	pa	http://www.booking.com/airport/pa/CHX.html	
Talagi	ARH	24	ru	http://www.booking.com/airport/ru/ARH.html	
Chaves	CHV	30	pt	http://www.booking.com/airport/pt/CHV.html	
Jefferson City Memorial	JEF	13	us	http://www.booking.com/airport/us/JEF.html	
José Celestino Mutis	BSC	9	co	http://www.booking.com/airport/co/BSC.html	
Hamburg	HAM	31	de	http://www.booking.com/airport/de/HAM.html	
Silvio Pettirossi International	ASU	30	py	http://www.booking.com/airport/py/ASU.html	
El Tepual	PMC	30	cl	http://www.booking.com/airport/cl/PMC.html	
Show Low Regional	SOW	23	us	http://www.booking.com/airport/us/SOW.html	
Calicut International Airport	CCJ	20	in	http://www.booking.com/airport/in/CCJ.html	
Curitibanos	QCR	1	br	http://www.booking.com/airport/br/QCR.html	
David City Municipal	93Y	7	us	http://www.booking.com/airport/us/93Y.html	
Brooten Municipal	6D1	5	us	http://www.booking.com/airport/us/6D1.html	
Cork	ORK	30	ie	http://www.booking.com/airport/ie/ORK.html	
Lukou	NKG	13	cn	http://www.booking.com/airport/cn/NKG.html	
Bagotville	YBG	30	ca	http://www.booking.com/airport/ca/YBG.html	
Old Bridge	3N6	30	us	http://www.booking.com/airport/us/3N6.html	
Termez	TMJ	1	uz	http://www.booking.com/airport/uz/TMJ.html	
Leesburg International	LEE	26	us	http://www.booking.com/airport/us/LEE.html	
Montgomery County Airpark	GAI	30	us	http://www.booking.com/airport/us/GAI.html	
Juan Mendoza	ORU	2	bo	http://www.booking.com/airport/bo/ORU.html	
Thalerhof	GRZ	30	at	http://www.booking.com/airport/at/GRZ.html	
De Kalb Co	07C	30	us	http://www.booking.com/airport/us/07C.html	
Saratov	RTW	30	ru	http://www.booking.com/airport/ru/RTW.html	
St. George Municipal	SGU	30	us	http://www.booking.com/airport/us/SGU.html	
Northwest Alabama Regional	MSL	17	us	http://www.booking.com/airport/us/MSL.html	
Little Falls/Morrison County -Lindbergh Field	LXL	1	us	http://www.booking.com/airport/us/LXL.html	
Corrado Gex	AOT	30	it	http://www.booking.com/airport/it/AOT.html	
Transylvania County	22W	28	us	http://www.booking.com/airport/us/22W.html	
Becks Grove	K16	10	us	http://www.booking.com/airport/us/K16.html	
Kirk Field	PGR	4	us	http://www.booking.com/airport/us/PGR.html	
Puerto Princesa	PPS	30	ph	http://www.booking.com/airport/ph/PPS.html	
Longville Municipal	XVG	4	us	http://www.booking.com/airport/us/XVG.html	
Tambacounda	TUD	1	sn	http://www.booking.com/airport/sn/TUD.html	
Bakersfield Municipal	L45	30	us	http://www.booking.com/airport/us/L45.html	
Kanpur	KNU	5	in	http://www.booking.com/airport/in/KNU.html	
La Porte Municipal	T41	30	us	http://www.booking.com/airport/us/T41.html	
Sharm el-Sheikh International	SSH	30	eg	http://www.booking.com/airport/eg/SSH.html	
Nashville	BNA	30	us	http://www.booking.com/airport/us/BNA.html	
Juan Manuel Gálvez	RTB	30	hn	http://www.booking.com/airport/hn/RTB.html	
Scott Valley	A30	12	us	http://www.booking.com/airport/us/A30.html	
Mid Valley	T65	30	us	http://www.booking.com/airport/us/T65.html	
Cynthiana-Harrison County	0I8	13	us	http://www.booking.com/airport/us/0I8.html	
Montréal/St-Hubert	YHU	30	ca	http://www.booking.com/airport/ca/YHU.html	
Ambrosio L V Taravella	COR	30	ar	http://www.booking.com/airport/ar/COR.html	
Agoncillo	RJL	30	es	http://www.booking.com/airport/es/RJL.html	
